id,country_id,title,desciption,producent ,active_ingredient,form,category_id,compatibility_id,ingredient_group_id,is_favorite
1001,1,Pandol ,"Panadol Extra is a mild analgesic and antipyretic formulated to give extra pain relief. The soluble tablets are recommended for the treatment of most painful and febrile conditions, for example, headache including migraine, backache, toothache, colds and influenza, sore throat, rheumatic pain and dysmenorrhoea.",GSK,Acetaminophen,1,1,1,1,
1002,3,Crocin Pain relief,"Crocin Advance Tablet is a medicine used to relieve pain and to reduce fever. It is used to treat many conditions such as headache, body ache, toothache and common cold. It works by inhibiting the release of certain chemical that cause pain and fever.",GlaxoSmithKline Consumer Healthcare,Acetaminophen,1,1,1,1,
1003,3,Aclomax,Aclomax is indicated for the treatment of the pain of osteoarthritis of the knee(s).,Admac Pharma Ltd,Diclofenac,1,3,2,2,
1004,1,Voltaren,"If you are in pain, Voltaren Pain Gel will keep your back free so that you can concentrate on the essentials. Voltaren pain gel has a 3-fold effect: it stops the pain, fights its most common cause, the inflammation and promotes healing.",GSK,Diclofenac,"1, 5",3,2,2,
1005,2,Advil,"Ibuprofen is a medication in the nonsteroidal anti-inflammatory drug class that is used for treating pain, fever, and inflammation. This includes painful menstrual periods, migraines, and rheumatoid arthritis.",Pfizer,Ibuprofen (200mg),"1, 2",1,3,3,
1006,1,Algifor,"Ibuprofen is a medication in the nonsteroidal anti-inflammatory drug class that is used for treating pain, fever, and inflammation. This includes painful menstrual periods, migraines, and rheumatoid arthritis.",VERFORA SA,Ibuprofen (400mg),"1, 2",1,3,3,
1007,2,Bayer Aspirin,"Aspirin, also known as acetylsalicylic acid (ASA), is a medication used to reduce pain, fever, or inflammation. Specific inflammatory conditions which aspirin is used to treat include Kawasaki disease, pericarditis, and rheumatic fever.",Bayer,"Acetylsalicylic Acid, 300-500mg",1,1,4,4,
1008,1,Aspirin S,"Aspirin, also known as acetylsalicylic acid (ASA), is a medication used to reduce pain, fever, or inflammation. Specific inflammatory conditions which aspirin is used to treat include Kawasaki disease, pericarditis, and rheumatic fever.",Bayer (Schweiz) AG,Acetylsalicylic Acid 500mg,1,1,4,4,
1009,2,Protonix,"Pantoprazole is approved for: GERD (Gastroesophageal reflux disease), Treating Zollinger-Ellison Syndrome, Healing Erosive esophagitis",Pfizer,Pantoprazole 20mg,"1, 4",2,5,5,
1010,1,Acido-X Pantoprazole,"Pantoprazole is approved for: GERD (Gastroesophageal reflux disease), Treating Zollinger-Ellison Syndrome, Healing Erosive esophagitis",Axapharm AG,Pantoprazole 40mg,1,2,5,5,
1011,3,Pantocid,"Pantoprazole is approved for: GERD (Gastroesophageal reflux disease), Treating Zollinger-Ellison Syndrome, Healing Erosive esophagitis",Sun Pharmaceutical Industries Ltd,Pantoprazole 20mg,1,2,5,5,
1012,4,Ibuclin (Ибуклин),"Ibuprofen is a medication in the nonsteroidal anti-inflammatory drug class that is used for treating pain, fever, and inflammation. This includes painful menstrual periods, migraines, and rheumatoid arthritis.",Belmedpreparaty (Белмедпрепараты),Ibuprofen (Ибупрофен) 200mg,1,1,3,3,
1013,4,Magnecard (Магнекард),"Aspirin, also known as acetylsalicylic acid (ASA), is a medication used to reduce pain, fever, or inflammation. Specific inflammatory conditions which aspirin is used to treat include Kawasaki disease, pericarditis, and rheumatic fever.",ZMP Borisov (Борисовский ЗМП),Acetylsalicylic Acid (Ацетилсалициловая кислота) 75mg,1,1,4,4,
1050,4,Med x,default text,producent x,ingredient x ,"1,3,4,5",3,3,11,
1050,4,Med y,default text,producent y,ingredient y,"1,2",2,1,14,